Date,Consumption,Production,Battery Charging,Battery Discharging,"Battery 
BYD B-BOX H with Kostal PLENTICORE plus and Energy Manager - SOC","Inverter 
Kostal PLENTICORE plus - currentPower 
","Inverter
Kostal PLENTICORE plus - activeDevice 
","Smart Meter 
KOSTAL EM - currentPower 
","Smart Meter 
KOSTAL EM - activeDevice 
","Energy Measurement 
Zählerschrank - currentPower 
","Energy Measurement 
Zählerschrank - activeDevice 
","Energy Measurement 
Wärmepumpe Innen - currentPower 
","Energy Measurement 
Wärmepumpe Innen - activeDevice 
","Energy Measurement 
Wärmepumpe Außen - currentPower 
","Energy Measurement 
Wärmepumpe Außen - activeDevice 
","Car Charging 
KEBA Wallbox P30 - currentPower 
","Car Charging 
KEBA Wallbox P30 - activeDevice 
"
2025-06-03T11:00:00+02:00,0,0,0,0,0,,,,,,,,,,,,
2025-06-03T11:15:00+02:00,0,0,0,0,0,,,,,,,,,,,,
2025-06-03T11:30:00+02:00,133,0,0,0,31,0,0,275.5,1,0,0,0,0,0,0,0,0
2025-06-03T11:45:00+02:00,341,0,0,0,31,0,0,340,1,0,1,0,1,0,1,0,0
2025-06-03T12:00:00+02:00,289,3113,2636,0,26,3137.75,1,-201.75,1,-191.75,1,6,1,7,1,0,0
2025-06-03T12:15:00+02:00,353,6139,5179,0,46,6139.33,1,-603,1,-639.67,1,6.33,1,7,1,0,0
2025-06-03T12:30:00+02:00,277,4646,4342,0,57,4645.5,1,-20,1,5,1,7,1,7,1,0,0
2025-06-03T12:45:00+02:00,254,6210,5463,0,66,6209.67,1,-506,1,-488.33,1,7,1,7,1,0,0
2025-06-03T13:00:00+02:00,243,7358,5454,0,81,7443.67,1,-1693.67,1,-1686,1,6,1,7,1,0,0
2025-06-03T13:15:00+02:00,2520,4294,2159,554,88,4361,1,-142,1,-125.67,1,6,1,7,1,0,0
2025-06-03T13:30:00+02:00,218,2463,2230,0,92,2463,1,-8.5,1,11.5,1,6,1,7,1,0,0
2025-06-03T13:45:00+02:00,1811,783,443,791,94,783.33,1,589.67,1,588,1,6,1,7,1,0,0
2025-06-03T14:00:00+02:00,1734,61,0,866,92,61,1,799.67,1,789.67,1,6,1,7,1,0,0
2025-06-03T14:15:00+02:00,335,142,0,126,91,142.33,1,58.67,1,69,1,6,1,7,1,0,0
2025-06-03T14:30:00+02:00,171,541,176,8,91,529.67,1,110.33,1,-42,1,6,1,7,1,0,0
2025-06-03T14:45:00+02:00,329,840,507,0,93,842.33,1,4,1,0,1,6,1,7,1,0,0
2025-06-03T15:00:00+02:00,335,1120,773,0,95,1114,1,10.33,1,-1.33,1,6,1,7,1,0,0
2025-06-03T15:15:00+02:00,331,884,550,0,96,878,1,10,1,-2.33,1,6,1,7,1,0,0
2025-06-03T15:30:00+02:00,451,805,273,4,98,820.33,1,-92,1,-90.67,1,6,1,7,1,0,0
2025-06-03T15:45:00+02:00,2507,1807,0,767,99,1808,1,-43.67,1,-68.67,1,6,1,7,1,0,0
2025-06-03T16:00:00+02:00,686,1539,0,27,98,1539,1,-873.33,1,-875.67,1,6,1,7,1,0,0
2025-06-03T16:15:00+02:00,785,1202,0,23,98,1200.33,1,-451,1,-433,1,6,1,7,1,0,0
2025-06-03T16:30:00+02:00,485,1068,0,24,98,1068.67,1,-611.33,1,-605,1,6,1,7,1,0,0
2025-06-03T16:45:00+02:00,371,734,0,19,98,734,1,-385.33,1,-371.67,1,6,1,7,1,0,0
2025-06-03T17:00:00+02:00,397,1040,0,21,98,1040,1,-665.33,1,-661.67,1,6,1,7,1,0,0
2025-06-03T17:15:00+02:00,373,1344,0,21,98,1353,1,-1015.33,1,-987.33,1,6,1,7,1,0,0
2025-06-03T17:30:00+02:00,407,1059,0,21,98,1055.33,1,-670.33,1,-676,1,6,1,7,1,0,0
2025-06-03T17:45:00+02:00,313,1125,0,21,97,1134.67,1,-834.33,1,-837.33,1,6,1,7,1,0,0
2025-06-03T18:00:00+02:00,316,2211,0,22,97,2213.67,1,-1927.33,1,-1918.67,1,6,1,7,1,0,0
2025-06-03T18:15:00+02:00,543,2782,0,22,97,2784,1,-2293.33,1,-2270.67,1,6,1,7,1,0,0
2025-06-03T18:30:00+02:00,744,2569,0,25,97,2546.67,1,-1823.67,1,-1808.67,1,6,1,7,1,0,0
